FED,MAX1_OBS,MAX1_PTMEAN,MAX1_PTSD,MAX1_PTPVAL,AGEDIFFMAX1,MAX10_OBS,MAX10_PTMEAN,MAX10_PTSD,MAX10_PTPVAL,AGEDIFFMAX10,MEAN_OBS,MEAN_PTMEAN,MEAN_PTSD,MEAN_PTPVAL,SD_OBS,SD_PTMEAN,SD_PTMEAN.1,SD_PTPVAL,MEDIAN_OBS,MEDIAN_PTMEAN,MEDIAN_PTSD,MEDIAN_PTPVAL,AGEDIFFOVERALL,KNAPP1,KNAPP10,KNAPP30
ALL,197,81.802142,53.59038689,0.00093,-14,208.7,89.030435,22.4881306,0,-1.2,169.77236,0.000731972,1.911926215,0,5.4362811,-0.000995178,1.031169935,0,228,0.0498175,2.859673498,0,13.8839197,0.0006477,8.71E-19,1.39E-30
RUS,240,55.336973,51.80648931,8.00E-06,35,254.2,93.672915,31.09995553,0,4.6,171.1645,0.007231108,5.522739976,0,22.8257448,0.005390442,2.702263957,0,235,0.112586,9.150725669,0,10.6280333,3.07E-06,1.19E-12,6.78E-56
IND,183,107.448729,74.33659328,0.14657,18,257.8,165.124609,42.78575766,0.012326,1.8,73.46754,0.004470933,5.195002527,0,8.1817473,0.036454156,4.554821167,0.0367,88,-0.136071,5.824407418,0,8.9295815,0.1459991,0.02410077,0.01108481
FRA,337,159.35624,104.5199863,0.005747,-4,342.7,190.492668,40.99449658,2.00E-06,0.5,188.1066,-0.006731199,7.37185041,0,25.9175029,0.016603469,4.23041745,0,227,-0.162302,11.40302435,0,12.3465606,0.00524529,4.56E-12,5.18E-26
GER,193,71.602525,48.88214483,0.008452,9,284.6,142.338114,29.10852731,0,-6.8,191.5077,0.008388785,6.401799603,0,-22.7930533,0.028973628,4.322780838,1,215.5,0.1750285,8.694509952,0,13.9658326,0.008328068,3.10E-10,1.66E-22
POL,348,114.654023,84.09064204,6.00E-06,-11,280.8,130.493212,38.62931527,0,-1.8,126.45674,-0.015574444,9.942577431,0,12.4773478,0.028244562,5.231625668,0.008696,160,-0.455106,14.32104266,0,11.8998152,4.74E-06,4.47E-12,8.89E-19
ESP,285,143.763774,75.67032398,0.010147,-4,314.1,185.512475,34.98584481,2.00E-05,-4.6,187.42536,-0.000406117,8.392201379,0,-0.6357654,0.037722292,5.010837184,0.554021,231,-0.4939725,11.41314022,0,16.2575153,0.01010598,3.24E-08,3.79E-11
IRI,203,166.698503,105.9318824,0.478444,-3,278.9,208.611754,48.07462978,0.057279,-0.9,107.50496,0.018018563,9.516847266,0,24.6491796,0.062986228,6.282174153,3.10E-05,129.5,0.131656,13.57520178,0,7.5591213,0.3870582,0.008315818,2.66E-05
TUR,169,106.716689,90.28901565,0.280199,-11,345.7,205.469987,50.47016276,0.000768,3.3,103.1872,-0.007159586,10.22157401,0,28.0121233,0.089623645,7.718170055,0.000117,119,0.265594,13.36363482,0,7.8850159,0.2494566,7.29E-08,3.75E-07
SRI,332,64.553176,77.67937059,2.90E-05,29,343.8,104.113794,52.1818052,0,13.8333333,81.17719,-0.002542356,10.28806346,0,60.2257074,0.07323828,8.548415859,0,65,-0.030724,12.72239096,0,2.0574176,3.22E-05,1.10E-08,5.92E-09
GRE,175,78.489609,68.27047488,0.09742,7,313.1,172.099345,47.31611818,0.000183,0.6,164.36245,0.011621918,13.59084254,0,44.6697014,0.06582627,7.820260707,0,207,-0.274748,21.77417093,0,10.3164263,0.0971463,1.98E-06,9.03E-12
UKR,131,32.971193,32.1172536,0.003887,23,247,99.549001,33.15943347,0,1.8,156.23588,0.001363167,14.22260326,0,-10.8707326,0.078076046,8.670795562,0.896655,154,-0.292559,18.03077015,0,11.7112606,0.003871894,1.26E-10,5.48E-18
BRA,347,67.815431,62.65818299,0,0,407,175.270349,42.97198302,0,-0.1,247.29307,0.001798003,11.82665826,0,12.1785584,0.08831463,7.592791651,0.055034,276,-0.067826,16.22850476,0,14.8279724,4.76E-07,2.77E-21,2.59E-38
ROU,215,87.273239,65.00576937,0.016083,9,266.8,127.31042,37.57631345,1.60E-05,-1.6,112.55061,-0.014233855,15.4195782,0,-5.5106536,0.079539517,8.528168633,0.743678,163.5,0.4866255,23.3734198,0,12.6811985,0.0159376,8.90E-05,1.02E-05
ITA,237,138.374724,76.74127861,0.084719,-7,322,206.021101,39.97709444,0.000286,2.1,214.85091,0.004508986,12.27617501,0,-1.9087105,0.092342337,7.614409124,0.603394,252,-0.5984015,15.67329611,0,18.2931335,0.07958817,2.38E-10,2.90E-11
HUN,83,125.226469,84.64728676,0.825212,-20,234.7,195.316276,44.64844852,0.19283,-2.1,134.60695,-0.017967622,13.81547072,0,-31.9078902,0.077250577,8.329231303,0.999945,176,-0.0769285,19.26021518,0,17.0638085,0.8250065,0.1166335,1.32E-07
CZE,305,161.970694,87.1156652,0.043924,-3,340.6,216.105348,40.35548694,0.000182,6.6,173.35727,0.005090701,13.45091916,0,-55.2702439,0.113239554,8.925359608,1,217,0.5561945,17.35570428,0,16.8275289,0.04426059,0.00028177,0.000267513
CHN,137,44.001696,68.92549496,0.067351,2,184.3,78.471443,46.94917134,0.006794,-4.2,88.73904,0.005096331,20.12557165,5.00E-06,-6.3996918,0.056275653,11.01171043,0.720939,98.5,0.1865645,30.32727542,0.000276,-1.0685139,0.06706541,0.02089309,1.69E-05
USA,400,156.117147,93.93651525,1.90E-05,-9,339.2,202.88201,40.21781588,3.00E-05,-8,204.25486,-0.006900958,13.52171238,0,-38.8946658,0.123409483,9.152209323,0.99999,232,-0.17855,18.03930091,0,14.8753818,1.93E-05,1.56E-05,2.06E-11
PER,263,102.647354,93.43378749,0.055701,-2,391.3,195.251891,58.97991828,1.10E-05,0.4,181.33607,0.003731728,16.89051721,0,51.7081782,0.109003221,10.45157702,0,209,-0.0137405,24.92424799,0,8.7233296,0.05583083,1.05E-08,3.95E-13
SRB,232,77.861202,55.57304742,0.000548,-25,255.6,140.386734,32.87650457,3.00E-05,4.7,178.63123,-0.017440036,13.30218251,0,-43.3793661,0.135195274,9.311879846,0.999998,201,-0.295545,18.18312243,0,17.412775,0.00048116,8.10E-06,2.20E-11
COL,255,43.678265,50.91404675,5.50E-05,7,298.6,128.840254,39.53428697,0,4.1,158.61923,-0.002518727,14.86415732,0,-13.8991168,0.121015225,9.672341075,0.926649,172,0.143385,18.79712046,0,10.4595176,2.47E-05,2.40E-08,9.89E-09
