fideid,country,sex,rating,birthday,age
25121731,IND,M,1063,1987,34
10680810,EGY,M,1728,2001,20
10206612,BAN,M,1598,,
5045886,IND,M,1777,1964,57
10247360,BAN,M,1489,1974,47
10220518,BAN,M,1800,1978,43
10201971,BAN,M,1576,,
25682938,IND,M,1350,2004,17
42555663,IRI,M,1273,2007,14
1701991,SWE,M,2342,1972,49
1727443,SWE,M,1317,1964,57
1407589,DEN,M,2342,1985,36
45051909,IND,M,1360,2005,16
45094586,IND,M,1376,2004,17
12524670,IRI,M,2107,1994,27
25646672,IND,M,1135,1990,31
25775600,IND,M,1111,2009,12
25760262,IND,M,1133,2004,17
25974068,IND,F,1050,2011,10
25789759,IND,M,1040,2010,11
25146912,IND,M,1027,2000,21
25918257,IND,M,1037,2010,11
25997270,IND,M,1102,2011,10
25088955,IND,M,1830,2002,19
25183400,IND,M,1108,2004,17
35050362,IND,M,1433,2004,17
25999222,IND,M,1128,2005,16
25656180,IND,M,1325,2005,16
35061941,IND,M,1548,2006,15
35042017,IND,M,1071,2000,21
25678191,IND,M,1912,2006,15
46660879,IND,M,1242,2007,14
25713051,IND,M,1434,2006,15
25998870,IND,M,1047,2009,12
5027942,IND,M,2035,1998,23
1528351,NOR,M,1777,1969,52
25778293,IND,F,1235,2010,11
1467263,DEN,M,1573,1960,61
1427024,DEN,M,2048,1966,55
1017942,NED,M,2059,1960,61
35056557,IND,M,1707,2002,19
1506064,NOR,M,1705,1957,64
25143638,IND,M,1008,2007,14
25768590,IND,M,1403,2003,18
25014510,IND,F,2230,2000,21
45033471,IND,F,1144,2007,14
25986490,IND,M,1391,2000,21
25644394,IND,M,1595,2010,11
45084572,IND,M,1283,1994,27
25905155,IND,M,1008,2007,14
25625420,IND,M,1444,2006,15
25110977,IND,M,1061,2006,15
25033220,IND,M,2107,2002,19
45038937,IND,M,1477,2002,19
1050141,NED,M,1911,1974,47
32714696,IRI,F,1097,2007,14
12598046,IRI,F,1348,1990,31
34489690,RUS,M,1957,1984,37
1070657,NED,M,2000,1951,70
1539604,NOR,M,1391,1959,62
1543679,NOR,M,1491,2007,14
35029185,IND,M,1870,2003,18
46665463,IND,M,1478,1990,31
1467077,DEN,M,1401,1950,71
1514849,NOR,M,1268,1942,79
1520113,NOR,M,1756,1976,45
1507362,NOR,M,2023,1956,65
25799762,IND,F,1070,2009,12
25742680,IND,F,1169,2008,13
25611437,IND,F,1393,2008,13
25786113,IND,M,1212,2009,12
9946276,SRI,M,1010,2005,16
25969382,IND,M,1139,2007,14
25149830,IND,M,1055,2012,9
35041983,IND,M,1291,2006,15
25656562,IND,M,1242,2009,12
45059756,IND,M,2021,2009,12
33315280,IND,M,1039,2010,11
25712977,IND,M,1414,2006,15
45015511,IND,M,1419,2009,12
25997050,IND,M,1019,2012,9
25956183,IND,M,1370,2009,12
25687140,IND,M,1198,2010,11
25789627,IND,M,1015,2010,11
25775030,IND,M,1332,2006,15
25674064,IND,M,1454,2009,12
25633317,IND,M,1380,2004,17
1010867,NED,M,1738,1961,60
45074097,IND,F,1046,2005,16
45013276,IND,F,1232,2007,14
25906011,IND,M,1271,2007,14
1500660,NOR,M,1777,1975,46
1530925,NOR,M,1865,1995,26
1547364,NOR,M,1568,1964,57
46612017,IND,M,1466,2005,16
46619402,IND,M,1672,2002,19
35015672,IND,M,1463,2002,19
25770500,IND,M,1084,2011,10
25652583,IND,M,1197,2006,15
25931091,IND,M,1526,2007,14
2009412,USA,M,2285,1994,27
30963346,USA,M,1723,1956,65
25100530,IND,M,1246,2004,17
1509179,NOR,M,1534,1985,36
46650172,IND,F,1030,2004,17
25673408,IND,F,1317,2007,14
1060660,NED,F,1450,1981,40
5059100,IND,F,1764,1997,24
1024396,NED,M,2152,1982,39
45012318,IND,M,1077,2005,16
25912003,IND,M,1122,2008,13
45077959,IND,M,1721,2004,17
25689924,IND,M,1300,2010,11
25699598,IND,M,1134,2006,15
25660276,IND,M,1359,2007,14
25798987,IND,F,1134,2006,15
1534378,NOR,M,1623,1999,22
25703439,IND,M,1111,2010,11
25901273,IND,M,1227,2010,11
45047502,IND,M,1486,2009,12
25760106,IND,M,1194,2007,14
45048975,IND,M,2269,2005,16
25948431,IND,M,1190,2006,15
46647350,IND,M,1423,2004,17
1514539,NOR,M,1815,1988,33
1502646,NOR,M,1845,1956,65
1542400,NOR,M,1223,2010,11
1539060,NOR,M,1625,2007,14
1539078,NOR,M,1745,2007,14
1539027,NOR,M,1892,1975,46
1511734,NOR,M,1396,1942,79
1519980,NOR,M,1843,1974,47
1519999,NOR,M,1469,1954,67
5086990,IND,F,1664,1997,24
25933337,IND,M,1134,2003,18
46694455,IND,F,1039,2006,15
25620789,IND,F,1096,2008,13
25683985,IND,M,1321,2005,16
45022500,IND,M,1700,2008,13
25924869,IND,F,1173,2006,15
1408941,DEN,M,1993,1939,82
25761137,IND,F,1247,2005,16
25956841,IND,F,1251,2008,13
45044066,IND,M,1426,2006,15
33329729,IND,M,1038,2004,17
25078810,IND,M,1237,1986,35
25197614,IND,M,1036,2010,11
25768603,IND,M,1263,2009,12
33309710,IND,M,1274,1999,22
10653325,EGY,M,1611,1967,54
35017926,IND,M,1479,2000,21
35029070,IND,M,1875,2007,14
25944371,IND,M,1191,2009,12
45044171,IND,M,1329,2005,16
25799770,IND,M,1231,1995,26
602388,FRA,M,1584,1979,42
44551916,TUR,M,1179,2005,16
44557850,TUR,M,1051,2008,13
3530728,CUB,M,1739,2006,15
54594782,ESP,M,1295,2004,17
22297081,ESP,M,1567,1984,37
22249460,ESP,M,1732,1967,54
24520632,ESP,M,1162,1947,74
22262490,ESP,M,1389,1948,73
54516609,ESP,M,1503,1962,59
2267837,ESP,M,1835,1977,44
5224691,PHI,M,1613,1998,23
26386224,TUR,M,1176,2001,20
32779690,IRI,M,1005,1954,67
42583233,IRI,M,1094,2008,13
2284839,ESP,M,1829,1977,44
22583700,IRI,M,1296,2002,19
1321102,SUI,M,1893,1979,42
34130354,RUS,M,1897,1956,65
54514975,ESP,M,1249,2005,16
34570004,TUR,M,1058,2005,16
13616609,GEO,M,1417,1971,50
22217959,ESP,M,1515,1992,29
22217975,ESP,M,2325,1997,24
2260689,ESP,M,2011,1977,44
22284605,ESP,M,2176,1997,24
32086202,ESP,M,1536,2002,19
22297200,ESP,M,1628,1977,44
179744,ARG,M,1682,1978,43
3511553,CUB,M,2144,1983,38
22217983,ESP,F,1435,1968,53
28510054,ITA,M,1402,2006,15
54537746,ESP,M,1117,2006,15
54537754,ESP,M,1078,2007,14
22214410,ESP,M,1797,1963,58
5246865,PHI,M,1235,2007,14
3446719,CHI,M,1836,1990,31
22267727,ESP,M,1842,1978,43
3409414,CHI,F,2064,1990,31
3409422,CHI,M,2430,1993,28
5113733,MEX,M,1887,1990,31
3410404,CHI,M,1821,1990,31
54547903,ESP,M,1451,2003,18
2276640,ESP,M,1642,1956,65
34376909,RUS,M,1179,2008,13
34142468,RUS,M,1855,1959,62
42508339,IRI,M,1297,2008,13
42578337,IRI,M,1070,2006,15
42578345,IRI,M,1186,2010,11
32783841,IRI,M,1385,1955,66
42537754,IRI,M,1163,2010,11
2849149,ITA,M,1608,1994,27
101605,ARG,M,1832,1996,25
13746464,KAZ,M,1112,2004,17
34321160,RUS,M,1380,1946,75
4206517,GRE,M,1870,1993,28
32009046,ESP,M,1345,1962,59
13741829,KAZ,M,1313,2007,14
6372260,TUR,M,1599,1994,27
32732759,IRI,M,1389,1983,38
42506271,IRI,M,1220,2005,16
32776470,IRI,M,1451,2004,17
32771037,IRI,M,1143,1998,23
25008536,IND,M,1200,1973,48
42556031,IRI,M,1165,2005,16
25911538,IND,M,1280,2009,12
10602950,EGY,M,1895,1983,38
423823,ENG,M,1528,1963,58
423831,ENG,M,2251,1999,22
42577012,IRI,M,1453,2005,16
32759355,IRI,M,1127,1981,40
22523731,IRI,F,1353,1996,25
32726554,IRI,F,1161,2007,14
12553190,IRI,M,1836,1999,22
12584460,IRI,M,1859,1982,39
22578480,IRI,M,1483,2008,13
42512794,IRI,M,1320,2002,19
42527139,IRI,F,1291,2005,16
42541859,IRI,M,1288,1963,58
42543142,IRI,M,1136,2009,12
22540687,IRI,M,1869,2002,19
22534601,IRI,M,1583,1954,67
32743360,IRI,M,1191,1977,44
42511046,IRI,M,1185,2002,19
12570516,IRI,M,1333,,
12505170,IRI,M,1888,1983,38
1761404,SWE,M,1640,1951,70
12509868,IRI,M,1813,,
12543675,IRI,F,1662,2002,19
32751575,IRI,M,1090,2006,15
12545090,IRI,F,1419,1986,35
32764987,IRI,F,1063,1989,32
32761368,IRI,M,1468,1979,42
42547547,IRI,M,1274,1985,36
22518223,IRI,F,1531,2007,14
12501000,IRI,M,2392,1972,49
22573712,IRI,M,1475,1985,36
22522131,IRI,M,1761,2005,16
54184908,RUS,M,1502,2007,14
42556406,IRI,M,1246,1964,57
12587516,IRI,F,1817,2005,16
42508592,IRI,M,1363,1980,41
42508606,IRI,M,1670,2004,17
12584479,IRI,M,1693,1992,29
20642920,FRA,F,1903,1995,26
22556982,IRI,M,1646,2004,17
12508608,IRI,M,1825,,
42507570,IRI,M,1881,1980,41
22534326,IRI,F,1447,2009,12
42501806,IRI,M,1124,2009,12
32731710,IRI,M,1580,1972,49
2805460,ITA,M,1634,1963,58
876224,ITA,M,1713,1979,42
1311581,SUI,M,2033,1957,64
1322265,SUI,M,1400,1943,78
641120,FRA,M,1296,1956,65
1033077,NED,M,2000,1953,68
45143250,FRA,M,1767,1969,52
2078082,USA,M,1859,1968,53
1012975,NED,M,2119,1966,55
10600752,EGY,M,2134,1957,64
812625,ITA,M,2101,1953,68
10628029,EGY,M,1780,1980,41
12558176,IRI,F,1838,,
3424634,CHI,F,1532,2006,15
3424642,CHI,M,1443,1969,52
124010,ARG,M,1623,,
21865124,POL,M,1156,2007,14
10627499,EGY,M,1898,1970,51
2111080,BRA,M,2248,1991,30
10649255,EGY,M,1761,2002,19
46698582,IND,M,1676,1997,24
10684190,EGY,M,1663,2000,21
45104883,FRA,M,1093,1944,77
20610785,FRA,M,1309,1970,51
