mean_small,mean_large,difference
2612,2753,141
2586,2753,167
2732,2753,21
2659,2753,94
2586,2753,167
2535,2753,218
2391,2753,362
2647,2753,106
2612,2753,141
2553,2753,200
2639,2753,114
2612,2753,141
2612,2753,141
2501,2753,252
2553,2753,200
2600,2753,153
2659,2753,94
2618,2753,135
2553,2753,200
2612,2753,141
2659,2753,94
2635,2753,118
2753,2732,-21
2726,2753,27
2543,2753,210
2553,2753,200
2753,2732,-21
2644,2753,109
2639,2753,114
2659,2753,94
2635,2753,118
2541,2753,212
2726,2753,27
2732,2753,21
2507,2753,246
2639,2753,114
2472,2753,281
2612,2753,141
2428,2753,325
2726,2753,27
2726,2753,27
2600,2753,153
2478,2753,275
2641,2753,112
2584,2753,169
2644,2753,109
2540,2753,213
2641,2753,112
2612,2753,141
2541,2753,212
2504,2753,249
2726,2753,27
2635,2753,118
2726,2753,27
2584,2753,169
2600,2753,153
2476,2753,277
2639,2753,114
2507,2753,246
2397,2753,356
2659,2753,94
2600,2753,153
2553,2753,200
2641,2753,112
2535,2753,218
2540,2753,213
2647,2753,106
2641,2753,112
2644,2753,109
2535,2753,218
2518,2753,235
2606,2753,147
2644,2753,109
2612,2753,141
2639,2753,114
2635,2753,118
2644,2753,109
2518,2753,235
2600,2753,153
2647,2753,106
2618,2753,135
2514,2753,239
2732,2753,21
2553,2753,200
2732,2753,21
2732,2753,21
2732,2753,21
2644,2753,109
2732,2753,21
2612,2753,141
2606,2753,147
2600,2753,153
2600,2753,153
2543,2753,210
2647,2753,106
2639,2753,114
2515,2753,238
2641,2753,112
2612,2753,141
2647,2753,106
2644,2753,109
2600,2753,153
2553,2753,200
2411,2753,342
2612,2753,141
2635,2753,118
2483,2753,270
2527,2753,226
2659,2753,94
2641,2753,112
2644,2753,109
2493,2753,260
2647,2753,106
2553,2753,200
2600,2753,153
2659,2753,94
2732,2753,21
2527,2753,226
2498,2753,255
2600,2753,153
2499,2753,254
2647,2753,106
2516,2753,237
2593,2753,160
2606,2753,147
2483,2753,270
2586,2753,167
2726,2753,27
2753,2732,-21
2753,2732,-21
2501,2753,252
2606,2753,147
2732,2753,21
2647,2753,106
2644,2753,109
2553,2753,200
2453,2753,300
2732,2753,21
2391,2753,362
2394,2753,359
2647,2753,106
2726,2753,27
2586,2753,167
2641,2753,112
2726,2753,27
2726,2753,27
2553,2753,200
2641,2753,112
2584,2753,169
2553,2753,200
2639,2753,114
2514,2753,239
2504,2753,249
2639,2753,114
2647,2753,106
2600,2753,153
2593,2753,160
2641,2753,112
2732,2753,21
2726,2753,27
2458,2753,295
2593,2753,160
2726,2753,27
2509,2753,244
2584,2753,169
2522,2753,231
2753,2732,-21
2527,2753,226
2600,2753,153
2541,2753,212
2527,2753,226
2647,2753,106
2600,2753,153
2732,2753,21
2732,2753,21
2641,2753,112
2618,2753,135
2600,2753,153
2647,2753,106
2726,2753,27
2726,2753,27
2371,2753,382
2501,2753,252
2635,2753,118
2527,2753,226
2606,2753,147
2753,2732,-21
2753,2732,-21
2507,2753,246
2644,2753,109
2635,2753,118
2726,2753,27
2644,2753,109
2635,2753,118
2726,2753,27
2469,2753,284
2535,2753,218
2495,2753,258
2639,2753,114
2732,2753,21
2514,2753,239
2397,2753,356
2618,2753,135
2584,2753,169
2504,2753,249
2753,2732,-21
2639,2753,114
2584,2753,169
2535,2753,218
2586,2753,167
2732,2753,21
2495,2753,258
2659,2753,94
2586,2753,167
2726,2753,27
2659,2753,94
2647,2753,106
2606,2753,147
2753,2732,-21
2612,2753,141
2504,2753,249
2406,2753,347
2659,2753,94
2553,2753,200
2641,2753,112
2639,2753,114
2753,2732,-21
2753,2732,-21
2753,2732,-21
2437,2753,316
2586,2753,167
2612,2753,141
2493,2753,260
2644,2753,109
2593,2753,160
2732,2753,21
2612,2753,141
2541,2753,212
2535,2753,218
2647,2753,106
2540,2753,213
2732,2753,21
2540,2753,213
2458,2753,295
2639,2753,114
2635,2753,118
2659,2753,94
2659,2753,94
2639,2753,114
2584,2753,169
2635,2753,118
2753,2732,-21
2647,2753,106
2647,2753,106
2540,2753,213
2400,2753,353
2641,2753,112
2541,2753,212
2606,2753,147
2726,2753,27
2641,2753,112
2541,2753,212
2647,2753,106
2659,2753,94
2516,2753,237
2647,2753,106
2553,2753,200
2516,2753,237
2726,2753,27
2391,2753,362
2543,2753,210
2586,2753,167
2635,2753,118
2499,2753,254
2641,2753,112
2509,2753,244
2540,2753,213
2535,2753,218
2612,2753,141
2659,2753,94
2612,2753,141
2726,2753,27
2606,2753,147
2753,2732,-21
2606,2753,147
2753,2732,-21
2639,2753,114
2639,2753,114
2535,2753,218
2482,2753,271
2504,2753,249
2553,2753,200
2600,2753,153
2659,2753,94
2647,2753,106
2639,2753,114
2515,2753,238
2647,2753,106
2493,2753,260
2445,2753,308
2514,2753,239
2593,2753,160
2753,2732,-21
2647,2753,106
2726,2753,27
2753,2726,-27
2635,2753,118
2641,2753,112
2483,2753,270
2504,2753,249
2644,2753,109
2647,2753,106
2612,2753,141
2732,2753,21
2753,2732,-21
2498,2753,255
2732,2753,21
2732,2753,21
2659,2753,94
2495,2753,258
2753,2732,-21
2726,2753,27
2647,2753,106
2584,2753,169
2586,2753,167
2732,2753,21
2753,2732,-21
2504,2753,249
2641,2753,112
2612,2753,141
2535,2753,218
2514,2753,239
2586,2753,167
2606,2753,147
2659,2753,94
2541,2753,212
2584,2753,169
2584,2753,169
2584,2753,169
2635,2753,118
2522,2753,231
2507,2753,246
2726,2753,27
2644,2753,109
2647,2753,106
2516,2753,237
2606,2753,147
2647,2753,106
2515,2753,238
2498,2753,255
2593,2753,160
2639,2753,114
2647,2753,106
2600,2753,153
2732,2753,21
2442,2753,311
2726,2753,27
2753,2732,-21
2647,2753,106
2553,2753,200
2586,2753,167
2726,2753,27
2732,2753,21
2639,2753,114
2606,2753,147
2586,2753,167
2612,2753,141
2659,2753,94
2483,2753,270
2541,2753,212
2635,2753,118
2600,2753,153
2584,2753,169
2586,2753,167
2753,2726,-27
2635,2753,118
2618,2753,135
2612,2753,141
2584,2753,169
2593,2753,160
2635,2753,118
2507,2753,246
2726,2753,27
2641,2753,112
2647,2753,106
2414,2753,339
2639,2753,114
2507,2753,246
2639,2753,114
2659,2753,94
2541,2753,212
2644,2753,109
2586,2753,167
2732,2753,21
2584,2753,169
2726,2753,27
2458,2753,295
2726,2753,27
2489,2753,264
2593,2753,160
2641,2753,112
2522,2753,231
2732,2753,21
2489,2753,264
2504,2753,249
2644,2753,109
2600,2753,153
2504,2753,249
2411,2753,342
2647,2753,106
2644,2753,109
2593,2753,160
2618,2753,135
2644,2753,109
2516,2753,237
2483,2753,270
2600,2753,153
2593,2753,160
2659,2753,94
2732,2753,21
2379,2753,374
2647,2753,106
2543,2753,210
2726,2753,27
2586,2753,167
2478,2753,275
2606,2753,147
2647,2753,106
2600,2753,153
2540,2753,213
2647,2753,106
2639,2753,114
2644,2753,109
2606,2753,147
2641,2753,112
2647,2753,106
2639,2753,114
2495,2753,258
2535,2753,218
2753,2732,-21
2514,2753,239
2639,2753,114
2641,2753,112
2644,2753,109
2586,2753,167
2618,2753,135
2732,2753,21
2600,2753,153
2635,2753,118
2600,2753,153
2644,2753,109
2472,2753,281
2495,2753,258
2732,2753,21
2516,2753,237
2635,2753,118
2507,2753,246
2753,2732,-21
2606,2753,147
2411,2753,342
2553,2753,200
2659,2753,94
2647,2753,106
2726,2753,27
2659,2753,94
2606,2753,147
2644,2753,109
2476,2753,277
2647,2753,106
2543,2753,210
2753,2732,-21
2515,2753,238
2501,2753,252
2635,2753,118
2606,2753,147
2753,2732,-21
2489,2753,264
2593,2753,160
2659,2753,94
2753,2726,-27
2541,2753,212
2593,2753,160
2639,2753,114
2540,2753,213
2442,2753,311
2504,2753,249
2753,2732,-21
2753,2732,-21
2732,2753,21
2543,2753,210
2543,2753,210
2472,2753,281
2600,2753,153
2553,2753,200
2659,2753,94
2606,2753,147
2543,2753,210
2732,2753,21
2600,2753,153
2647,2753,106
2732,2753,21
2659,2753,94
2553,2753,200
2753,2732,-21
2647,2753,106
2647,2753,106
2641,2753,112
2612,2753,141
2618,2753,135
