mean_small,mean_large,difference
2863,2828,-35
2764,2863,99
2758,2863,105
2828,2863,35
2770,2863,93
2763,2863,100
2726,2863,137
2709,2863,154
2770,2863,93
2709,2863,154
2759,2863,104
2784,2863,79
2752,2863,111
2863,2828,-35
2791,2863,72
2770,2863,93
2770,2863,93
2784,2863,79
2784,2863,79
2791,2863,72
2828,2863,35
2757,2863,106
2759,2863,104
2709,2863,154
2863,2812,-51
2759,2863,104
2759,2863,104
2765,2863,98
2753,2863,110
2732,2863,131
2828,2863,35
2759,2863,104
2705,2863,158
2777,2863,86
2682,2863,181
2828,2863,35
2863,2828,-35
2765,2863,98
2863,2828,-35
2687,2863,176
2777,2863,86
2767,2863,96
2784,2863,79
2863,2828,-35
2767,2863,96
2863,2828,-35
2863,2828,-35
2791,2863,72
2709,2863,154
2784,2863,79
2812,2863,51
2770,2863,93
2705,2863,158
2767,2863,96
2812,2863,51
2736,2863,127
2812,2863,51
2784,2863,79
2784,2863,79
2828,2863,35
2784,2863,79
2753,2863,110
2732,2863,131
2828,2863,35
2770,2863,93
2863,2828,-35
2732,2863,131
2784,2863,79
2863,2828,-35
2863,2828,-35
2770,2863,93
2863,2828,-35
2863,2828,-35
2722,2863,141
2752,2863,111
2759,2863,104
2699,2863,164
2863,2828,-35
2863,2828,-35
2828,2863,35
2687,2863,176
2791,2863,72
2767,2863,96
2709,2863,154
2791,2863,72
2674,2863,189
2770,2863,93
2828,2863,35
2723,2863,140
2784,2863,79
2791,2863,72
2716,2863,147
2863,2828,-35
2765,2863,98
2791,2863,72
2770,2863,93
2791,2863,72
2767,2863,96
2721,2863,142
2763,2863,100
2758,2863,105
2706,2863,157
2784,2863,79
2812,2863,51
2764,2863,99
2812,2863,51
2696,2863,167
2735,2863,128
2721,2863,142
2784,2863,79
2753,2863,110
2777,2863,86
2784,2863,79
2828,2863,35
2784,2863,79
2758,2863,105
2706,2863,157
2784,2863,79
2767,2863,96
2791,2863,72
2764,2863,99
2726,2863,137
2752,2863,111
2763,2863,100
2767,2863,96
2753,2863,110
2765,2863,98
2863,2828,-35
2812,2863,51
2696,2863,167
2759,2863,104
2784,2863,79
2705,2863,158
2753,2863,110
2764,2863,99
2735,2863,128
2732,2863,131
2791,2863,72
2784,2863,79
2784,2863,79
2812,2863,51
2828,2863,35
2863,2828,-35
2812,2863,51
2709,2863,154
2753,2863,110
2732,2863,131
2757,2863,106
2812,2863,51
2759,2863,104
2828,2863,35
2757,2863,106
2753,2863,110
2764,2863,99
2784,2863,79
2687,2863,176
2763,2863,100
2726,2863,137
2765,2863,98
2828,2863,35
2791,2863,72
2770,2863,93
2709,2863,154
2753,2863,110
2706,2863,157
2709,2863,154
2777,2863,86
2767,2863,96
2705,2863,158
2707,2863,156
2863,2812,-51
2679,2863,184
2707,2863,156
2716,2863,147
2763,2863,100
2828,2863,35
2674,2863,189
2770,2863,93
2863,2828,-35
2722,2863,141
2732,2863,131
2828,2863,35
2791,2863,72
2716,2863,147
2791,2863,72
2812,2863,51
2784,2863,79
2759,2863,104
2735,2863,128
2722,2863,141
2753,2863,110
2759,2863,104
2732,2863,131
2767,2863,96
2732,2863,131
2767,2863,96
2777,2863,86
2753,2863,110
2753,2863,110
2759,2863,104
2791,2863,72
2863,2828,-35
2691,2863,172
2784,2863,79
2791,2863,72
2709,2863,154
2736,2863,127
2764,2863,99
2791,2863,72
2770,2863,93
2791,2863,72
2828,2863,35
2753,2863,110
2764,2863,99
2812,2863,51
2791,2863,72
2765,2863,98
2757,2863,106
2770,2863,93
2770,2863,93
2764,2863,99
2770,2863,93
2863,2828,-35
2753,2863,110
2764,2863,99
2767,2863,96
2722,2863,141
2732,2863,131
2791,2863,72
2791,2863,72
2863,2828,-35
2726,2863,137
2828,2863,35
2828,2863,35
2732,2863,131
2736,2863,127
2828,2863,35
2716,2863,147
2828,2863,35
2759,2863,104
2784,2863,79
2791,2863,72
2765,2863,98
2784,2863,79
2735,2863,128
2812,2863,51
2812,2863,51
2767,2863,96
2753,2863,110
2758,2863,105
2757,2863,106
2765,2863,98
2726,2863,137
2812,2863,51
2784,2863,79
2863,2828,-35
2736,2863,127
2732,2863,131
2694,2863,169
2777,2863,86
2732,2863,131
