Country,AgeDiffAll,AdjRD-All,AgeDiffMax10,AdjRD-Max10,AgeDiffMax1,AdjRD-Max1
RUS,-9.9822347,111.94731,-12.9,118.560532,-44,125.503752
IND,-1.0685139,88.73904,-8.6,207.573005,-30,6.337973
FRA,0.4631772,65.58276,-8,136.31799,-25,154.138798
GER,2.0574176,81.17719,-7,211.138648,-23,212.335463
POL,2.6464981,98.1037,-6.9,117.550143,-23,266.817208
ESP,3.5772451,112.50989,-6.8,142.261886,-20,-42.226469
IRI,3.5814379,271.28275,-6.75,175.168606,-19,318.513252
TUR,3.813877,303.59797,-6.7,198.652741,-18,246.23193
SRI,3.9218814,28.78938,-6.2,90.091897,-18,123.501402
GRE,4.2794809,132.02308,-5.1,106.066472,-17,210.784427
UKR,4.3729541,430.06276,-4.9,122.718231,-17,334.011091
BRA,4.4667099,219.32164,-4.6,128.587525,-16,145.077249
ROU,4.5035361,321.06607,-4.2,105.828557,-12,251.148482
ITA,4.5834333,218.03585,-4.2,165.72208,-12,279.198049
HUN,4.6489564,98.06516,-3.1,154.067995,-11,233.345977
CZE,4.6590701,52.23331,-2.9,211.366363,-11,62.283311
CHN,4.793205,10.61732,-2.8,180.928397,-11,180.42199
USA,5.0202717,52.03229,-2.6,189.367796,-11,284.090246
PER,5.5024165,57.45769,-2.5,155.618752,-10,279.765179
SRB,6.4491206,107.2962,-2.1,39.383724,-10,315.285959
COL,6.6445772,233.9279,-1.9,176.012132,-10,322.396946
KAZ,6.7648598,185.94282,-1.8,150.306788,-9,243.882853
CUB,6.9909369,136.56201,-1.7777778,150.404062,-9,-3.055858
AZE,7.0991085,167.63453,-1.6,139.48958,-8,184.304996
GEO,7.2225186,92.46158,-0.9,70.288246,-7,98.625276
MEX,7.3975155,306.40683,-0.4444444,35.076154,-6,160.07414
MAS,7.5591213,107.50496,-0.4,204.6816,-5,263.76575
ECU,7.6062201,76.25365,-0.4,153.504833,-4,177.64376
VEN,7.6786048,142.26608,-0.2222222,142.741174,-4,141.236226
VIE,7.7163558,252.87783,-0.2,109.352428,-4,295.096527
BUL,7.865011,438.89581,-0.1,231.729651,-4,126.243863
CRO,7.8850159,103.1872,0,109.963892,-4,268.654674
NED,8.7233296,181.33607,0.1,124.252995,-3,36.301497
ENG,8.7502346,143.14759,0.2857143,160.269984,-3,143.029306
SVK,8.9295815,73.46754,0.3,191.169163,-3,198.456987
BOL,8.9477311,192.59622,0.4,196.048109,NA,NA
ARG,9.5967348,187.96024,0.5,152.207332,-2,160.352646
AUT,9.6444169,204.07913,0.5,149.265459,-2,155.080817
PHI,9.7338015,216.62461,0.6,141.000655,-1,180.824757
UZB,10.1176524,92.83163,0.6,239.612332,0,279.184569
BLR,10.1760878,276.46535,1.375,325.231887,0,77.719924
CHI,10.3164263,164.36245,1.6,62.064642,NA,NA
MGL,10.4595176,158.61923,1.8,92.675391,0,244.42146
RSA,10.5389712,224.34762,1.8,147.450999,0,246.421413
AUS,10.6280333,171.1645,1.9,163.201251,1,119.248759
SLO,10.8735183,108.94003,2.1,115.978899,1,269.525232
LTU,11.6658468,264.49354,2.1,182.434567,2,92.998304
ARM,11.6724782,335.52492,2.1,107.220286,2,191.723757
ISR,11.6938272,166.61622,2.3,206.220478,2,48.556697
BEL,11.7034646,146.90258,3,230.546332,3,231.417349
POR,11.7112606,156.23588,3,116.399787,4,93.547156
KOR,11.8998152,126.45674,3.1,153.234161,6,196.582162
INA,11.9364791,227.44051,3.1666667,165.724035,6,125.147203
CAN,11.9867388,197.30548,3.3,140.230013,7,96.510391
SWE,12.0166958,114.82799,3.375,231.49266,7,211.321735
NOR,12.1606959,132.96608,3.4,131.498617,7,52.425435
