country,Obs. top 1,Expected top 1,p top 1,Obs. top 10,Expected top 10,p top 10,Obs. all,Expected all,p all,p top all
FRA,337,177.1,0.012,328.2,190.8,0,185.3,0.1,1,0
GER,193,68.8,0.009,285.3,144.7,0,214.4,0,1,0
RUS,205,31.7,0,254.3,81.7,0,161.2,0,1,0
ESP,299,153.8,0.009,361.3,205.9,0,219.8,0,1,0
POL,348,112.7,0,302.6,135.2,0,141.6,0,1,0
IND,183,97.2,0.09,257.8,152.3,0.006,72.3,0,1,0
IRI,203,171.2,0.363,296.3,242.5,0.179,140.6,0,1,0
GRE,220,74.1,0.022,388.9,182.5,0,178.5,0.1,1,0
CZE,419,173.5,0,384.8,242.2,0,211.8,0.1,1,0
TUR,169,95.3,0.171,365.1,198.5,0.001,109,0.1,1,0
HUN,333,160.2,0.019,320.3,222.1,0.01,177.2,0,1,0
BRA,381,78.2,0,488.1,211.5,0,262.2,0.2,1,0
SRI,426,120,0,354.8,109.5,0,76.3,0.1,1,0
SRB,256,100.1,0.004,271.2,179.3,0.004,209.8,-0.1,1,0
NED,388,232,0.031,339.6,274.4,0.08,196.1,-0.1,1,0
ITA,237,151.5,0.123,326.7,232.8,0.013,234.5,0,1,0
COL,292,43.2,0,335.8,161.9,0,181.5,0,1,0
UKR,131,34.8,0.008,271.6,121.4,0,208.6,-0.1,1,0
AUT,364,212.9,0.022,316.3,216.3,0.006,227.8,0,1,0
SVK,251,142.8,0.125,275.3,248.7,0.293,166,0,1,0
CHN,137,46.1,0.052,224.5,94.5,0.002,69.4,-0.1,0.9872,0.013
CRO,362,130.3,0.001,387.3,232.6,0,238.1,0,1,0
ROU,215,89.6,0.027,277.2,151.3,0.004,130.1,0.1,1,0
MEX,357,111.1,0,378.3,144.6,0,234.7,0,1,0
BEL,319,164.9,0.057,486.1,282.1,0,211.7,-0.2,1,0
SWE,222,238.7,0.586,402.1,305.3,0.028,254.2,-0.1,1,0
ENG,287,160.2,0.108,425.3,291.6,0.006,211.9,0,1,0
KAZ,141,107,0.39,187.5,150.3,0.256,37.4,0.1,0.93237,0.068
CUB,264,59.3,0,316.1,85.3,0,223.1,-0.1,1,0
GEO,167,47.9,0.015,175.9,72.7,0.012,36.2,-0.1,0.81055,0.189
NOR,670,419.5,0.016,498.5,401.7,0.082,86.6,-0.1,0.99355,0.006
USA,400,150.3,0.001,366,231.8,0.004,196.4,0.1,1,0
SUI,325,185.9,0.042,395.7,292.1,0.02,244.3,0,1,0
VIE,347,67,0.001,249,77,0.003,99.6,0.3,0.99135,0.009
LTU,-3,44.6,0.816,297.5,191,0.055,114.9,0.2,0.99358,0.006
ARG,296,154.9,0.061,403.2,305.5,0.056,129,0.2,1,0
ISR,338,142.8,0.015,400.9,280.8,0.023,164.2,0,0.99998,0
DEN,440,269.1,0.059,476.7,428.4,0.198,100.8,-0.1,0.99319,0.007
EGY,500,283.6,0.019,515.3,296.9,0,267.2,0.1,1,0
PHI,388,64.9,0,382.2,106.9,0,193.1,0.1,1,0
BAN,413,183.8,0.016,446.9,301.6,0.003,243.9,-0.1,1,0
LAT,338,95.7,0.006,328.8,173.2,0.007,99.5,0.1,0.9726,0.027
SLO,330,138.8,0.014,325.3,206.7,0.01,128.2,0,0.99859,0.001
CHI,529,152.1,0,499.1,240,0,231.8,-0.1,1,0
KEN,474,81.9,0,507.1,180.6,0,272.2,-0.2,1,0
BUL,261,177.7,0.137,251.1,173.8,0.075,84,-0.1,0.96168,0.038
