country,mean_male,mean_female,observed_difference,mean_perm_difference,% perm>=obs,n_highest,metric
FRA,1905.2,1578.6,326.6,577.426988,0.92279,10,number_games
GER,1874.4,1426.2,448.2,641.662049,0.86024,10,number_games
RUS,1624.4,1678.9,-54.5,37.776671,0.72999,10,number_games
ESP,1495.4,1474,21.4000000000001,364.793899,0.98316,10,number_games
POL,1757.7,1745.4,12.3,391.769622,0.99024,10,number_games
IND,1936.2,1946.6,-10.3999999999999,377.338568,0.98164,10,number_games
IRI,1530.7,1088.4,442.3,472.1276,0.60039,10,number_games
GRE,1559,1409.2,149.8,450.189766,0.96743,10,number_games
CZE,1894.4,1373.1,521.3,761.851289,0.93671,10,number_games
TUR,1616.8,1145.3,471.5,577.095427,0.78897,10,number_games
HUN,1649.9,1304.4,345.5,451.144931,0.75082,10,number_games
BRA,1485.1,1114.8,370.3,497.020106,0.81485,10,number_games
SRI,1131.8,886.4,245.4,177.484911,0.31549,10,number_games
SRB,1618.6,1255.5,363.1,523.632064,0.81169,10,number_games
NED,1854.1,1328.6,525.5,866.176188,0.97224,10,number_games
ITA,1812.3,1347.6,464.7,831.184933,0.98825,10,number_games
COL,1533.1,1163.5,369.6,420.826075,0.64925,10,number_games
UKR,1760.6,1462.5,298.1,481.280686,0.83482,10,number_games
AUT,1329.6,1318.7,10.8999999999999,354.746805,0.98546,10,number_games
SVK,1585.9,1172.1,413.8,582.147162,0.89051,10,number_games
CHN,1594.5,1586.4,8.09999999999991,184.631031,0.8409,10,number_games
CRO,2138.9,1339.2,799.7,1075.706205,0.947,10,number_games
ROU,1957.4,1523.5,433.9,760.043742,0.94498,10,number_games
MEX,1049.7,1014.9,34.8000000000001,261.617663,0.92604,10,number_games
BEL,1522.9,985.3,537.6,591.722089,0.6896,10,number_games
SWE,1564.8,981.5,583.3,716.34847,0.84509,10,number_games
ENG,1496.2,962.8,533.4,581.799732,0.66465,10,number_games
KAZ,1244,1174.5,69.5,188.868074,0.78171,10,number_games
CUB,1633.8,1344.4,289.4,332.917672,0.60747,10,number_games
GEO,1757.5,1579.5,178,140.699936,0.41928,10,number_games
NOR,1573.3,1078.3,495,700.287888,0.93218,10,number_games
USA,1953.8,1354.3,599.5,1018.180406,0.98073,10,number_games
SUI,1481.8,1120,361.8,578.101591,0.94963,10,number_games
VIE,1320.3,1072.6,247.7,130.485999,0.26072,10,number_games
LTU,1280.8,1172.9,107.9,288.440744,0.87577,10,number_games
ARG,1563.4,1200,363.4,688.193848,0.96871,10,number_games
ISR,1750.1,918.9,831.2,823.363926,0.50186,10,number_games
DEN,1605,1227.7,377.3,757.763632,0.99432,10,number_games
EGY,1382.9,684.1,698.8,543.156387,0.15468,10,number_games
PHI,1228.9,786.5,442.4,383.03613,0.37853,10,number_games
BAN,1642.2,1026.3,615.9,780.722778,0.82737,10,number_games
LAT,1827.6,872.3,955.3,717.890554,0.22462,10,number_games
SLO,1597.3,1351,246.3,589.326856,0.97442,10,number_games
CHI,1069.1,853.3,215.8,255.349781,0.6272,10,number_games
KEN,818.9,708,110.9,267.78497,0.91311,10,number_games
BUL,1886.4,1423.3,463.1,853.056989,0.96498,10,number_games
