country,mean_male,mean_female,observed_difference,mean_perm_difference,% perm>=obs,n_highest,metric
FRA,52.1626133553174,45.8338926174497,6.32872073786773,0.00119245523191157,0,Inf,age
GER,53.2661131292164,47.1447876447877,6.12132548442875,-0.00046904643222806,0,Inf,age
RUS,52.1355006501951,43.8854166666667,8.25008398352839,0.000923629036627671,0,Inf,age
ESP,50.0562433385259,41.7917981072555,8.26444523127034,-0.000285660056553314,0,Inf,age
POL,47.4526198439242,38.9798387096774,8.47278113424677,0.00300681268805219,0,Inf,age
IND,38.7848997247346,31,7.78489972473457,0.00232912535960427,0,Inf,age
IRI,41.6298258894777,32.5,9.12982588947767,-0.00378129963096137,0,Inf,age
GRE,43.0702504581552,33.7672955974843,9.30295486067089,-0.000952089840673418,0,Inf,age
CZE,53.1546487363784,40.843537414966,12.3111113214124,-0.00243500664814965,0,Inf,age
TUR,38.2451469772601,30.4224137931035,7.82273318415667,0.00366295704477188,0,Inf,age
HUN,52.4107142857143,38.3275862068966,14.0831280788177,0.00227933279454024,0,Inf,age
BRA,44.0819554277498,30.8558558558559,13.226099571894,-4.62079908808948e-05,0,Inf,age
SRI,30.5539215686275,26.1188118811881,4.43510968743933,-0.00681305377596583,0,Inf,age
SRB,54.6591871295512,38.61,16.0491871295512,-0.00350388966977137,0,Inf,age
NED,52.989072964399,43.7894736842105,9.19959928018849,-0.0119072697252472,0,Inf,age
ITA,51.670882740448,42,9.67088274044796,-0.00370117634005963,0,Inf,age
COL,43.5396341463415,31.1688311688312,12.3708029775103,0.00389215889293632,0,Inf,age
UKR,49.1877828054299,36.1153846153846,13.0723981900453,0.00584274886877828,0,Inf,age
AUT,53.8021718602455,42.012987012987,11.7891848472585,-0.00230721122597896,0,Inf,age
SVK,52.5559251559252,38.4242424242424,14.1316827316827,-0.00626729496629498,0,Inf,age
CHN,30.5066666666667,29.8307692307692,0.675897435897436,0.00129557435897434,0.29384,Inf,age
CRO,53.1278567016677,37.3934426229508,15.7344140787169,-0.0154164055934143,0,Inf,age
ROU,50.1489572989077,42.9333333333333,7.21562396557432,-0.00900530867262495,7e-05,Inf,age
MEX,39.2058212058212,26.9166666666667,12.2891545391545,0.00349893416493418,0,Inf,age
BEL,51.1014263074485,44.4576271186441,6.64379918880442,-0.00059404872545597,0.00067,Inf,age
SWE,54.8240131578947,49.0689655172414,5.75504764065336,0.00304684451565336,0.00416,Inf,age
ENG,54.2268847795164,47.1636363636364,7.06324841588,-0.011069829690935,0.00047,Inf,age
KAZ,49.3467741935484,44.3396226415094,5.00715155203895,-0.01895802901197,0.03223,Inf,age
CUB,42.7719298245614,30.8461538461539,11.9257759784076,-0.0109355971659919,0,Inf,age
GEO,44.458064516129,37.44,7.01806451612904,0.00704890967741934,0.00417,Inf,age
NOR,51.0630733944954,40.0833333333333,10.9797400611621,-0.0098911009174312,1e-05,Inf,age
USA,46.5655172413793,40.0869565217391,6.47856071964018,-0.0085451113534142,0.00464,Inf,age
SUI,54.7720820189274,49.9761904761905,4.79589154273697,0.00219158968003605,0.0273,Inf,age
VIE,35.0804597701149,29.5,5.58045977011494,0.0048121674876847,0.0018,Inf,age
LTU,51.9603524229075,45.0487804878049,6.91157193510261,-0.0109340066616525,0.00731,Inf,age
ARG,45.4610738255034,35.975,9.48607382550335,0.000271749999999987,1e-05,Inf,age
ISR,52.9366197183099,47,5.93661971830986,-0.00473285387323944,0.02053,Inf,age
DEN,59.4019047619048,46.1025641025641,13.2993406593407,0.00355801318681318,0,Inf,age
EGY,44.3989769820972,28.8378378378378,15.5611391442594,-0.00105451130158292,0,Inf,age
PHI,41.3582089552239,27.1621621621622,14.1960467930617,-0.0167160599031868,0,Inf,age
BAN,39.9462571976967,38.2285714285714,1.71768576912531,-0.000753050726624616,0.18101,Inf,age
LAT,49.562874251497,48.9705882352941,0.592286016202891,0.00321547904191617,0.43249,Inf,age
SLO,52.034155597723,40.1176470588235,11.9165085388994,-0.0177282447817837,2e-05,Inf,age
CHI,41.4174757281553,34.7741935483871,6.64328217976824,0.0111637817099906,0.00346,Inf,age
KEN,34.7318181818182,28.2903225806452,6.44149560117302,0.000645326979472151,4e-05,Inf,age
BUL,51.9209809264305,46.9666666666667,4.95431425976385,0.015042906448683,0.05218,Inf,age
