country,Obs. all,Expected all,p all
IND,94,0.106715,0
EGY,297.5,-2.712275,0
BAN,326.5,0.831705,0
MAS,150,-0.42277,0
IRQ,369.5,-3.655935,0
INA,125,0.56853,0.00224000000000002
IRI,174,-0.4931,0
SWE,338,-0.76501,0
DEN,163,-0.021335,0.000850000000000017
SGP,120,-14.02428,0.00790000000000002
NOR,69.5,-2.21085,0.04335
NED,220,0.845555,0
RUS,206,-0.00770999999999996,0
UAE,38.5,2.01975,0.24302
AUS,230,-1.38936,0
SRI,52,0.06721,0.00224999999999997
USA,186.5,-1.18509,0
FRA,226.5,-0.487375,0
TUR,128,0.13286,0
CUB,254.5,-0.77329,0
ESP,281,-0.16681,0
PER,218,1.748445,0
ECU,108,-1.222655,0.000850000000000017
PHI,190,0.03736,0
SUI,303,-0.53967,0
KGZ,203,-5.00562,9.99999999995449e-06
ARM,148,-1.80397,0.02542
GEO,91,-2.04027,0.0616600000000001
ARG,101.5,-5.581985,0.00305999999999995
ITA,298,0.58563,0
JOR,204,3.676415,0.00119999999999998
CHI,319,-1.21795,0
MEX,243,-0.88978,0
CRC,244,-4.17489,0
AZE,-4,0.67105,0.54881
VEN,258,-1.087685,0
KAZ,51.5,-0.28587,0.06669
GRE,200.5,-0.957935,0
ENG,237,-0.712935,0
POL,199,-1.41258,0
BRA,297,-0.0176,0
CAN,256.5,5.112775,0
ALG,331,8.82154,0
BIH,297,-1.86063,0
UZB,129,-5.71742,0.000619999999999954
ISR,174.5,-1.79157,0.00100999999999996
GER,234,0.48803,0
POR,336,-4.76734,0
SLO,123.5,1.33481,0.0110400000000001
HUN,203,-0.74533,0
SRB,238.5,-0.27408,0
SVK,194,0.657125,0
CRO,240,-2.82415,0
BEL,261,1.41398,0
KEN,282.5,0.953575,0
ANG,396,-4.721605,0
AUT,233,-0.844875,0
LAT,83,-4.08656,0.14455
EST,255,5.1048,0.00932999999999995
RSA,329.5,6.274645,0
MDA,128.5,-16.126865,0.07529
UKR,245.5,-0.35917,0
BLR,165,-4.27722,0.01898
DOM,166,-2.67492,4.000000000004e-05
COL,200.5,-0.425965,0
ROU,193,-1.260815,0
CZE,250,-0.6562,0
CHN,49,-2.12811,0.07506
BOL,108,-2.15671,2.99999999999745e-05
NEP,162,-1.20385,2.000000000002e-05
BOT,300.5,-1.88701,0
LTU,148.5,2.903675,0.03443
MGL,228.5,8.781565,0.00904000000000005
BUL,191.5,12.68237,0.02515
KOR,215,-0.313395,0
ZAM,458,1.95726,0
ZIM,417,11.13304,0
THA,198.5,-4.8713,0.000720000000000054
VIE,72.5,0.438235,0.10015
