country,mean_male,mean_female,observed_difference,mean_perm_difference,% perm>=obs,n_highest,metric
FRA,661.647568013191,678.964765100671,-17.3171970874806,0.00956366744219477,0.84915,Inf,number_games
GER,653.260508562533,698.108108108108,-44.8475995455757,0.0686580580973888,0.99109,Inf,number_games
RUS,690.753966189857,748.927083333333,-58.1731171434764,0.0259808322496749,0.9929,Inf,number_games
ESP,660.75805525949,639.249211356467,21.5088439030232,-0.0521691476390866,0.17294,Inf,number_games
POL,688.95392047566,756.798387096774,-67.8444666211145,0.051294719734839,0.98792,Inf,number_games
IND,597.990169091624,854.84649122807,-256.856322136446,-0.0994851045698199,1,Inf,number_games
IRI,443.236184708554,463.26875,-20.0325652914459,-0.04417521830053,0.72045,Inf,number_games
GRE,682.880268784362,767.138364779874,-84.2580959955126,-0.0395109873483864,0.98988,Inf,number_games
CZE,700.300950614422,769.707482993197,-69.4065323787758,-0.0772048601680414,0.97957,Inf,number_games
TUR,582.068219633943,641.948275862069,-59.8800562281256,-0.0519364621703292,0.92636,Inf,number_games
HUN,759.880580357143,856.491379310345,-96.610798953202,0.125758435704023,0.99098,Inf,number_games
BRA,558.803019410496,620.594594594595,-61.7915751840985,0.158268167563682,0.92527,Inf,number_games
SRI,606.602941176471,545.277227722772,61.3257134536983,-0.0542705778004271,0.09622,Inf,number_games
SRB,693.859017781541,800.13,-106.270982218459,0.0148876993226078,0.99116,Inf,number_games
NED,629.629185759605,687.863157894737,-58.2339721351316,0.135500156058104,0.91023,Inf,number_games
ITA,657.484848484849,687.168421052632,-29.6835725677831,0.0936796005824838,0.74966,Inf,number_games
COL,576.567073170732,750.584415584416,-174.017342413684,0.0770193033338615,0.99907,Inf,number_games
UKR,701.60520361991,782.910256410256,-81.305052790347,0.255497213423831,0.89625,Inf,number_games
AUT,675.928706326723,733.090909090909,-57.1622027641859,-0.0713148262266531,0.89568,Inf,number_games
SVK,691.107276507277,748.833333333333,-57.7260568260568,0.106450297927298,0.88098,Inf,number_games
CHN,681.566666666667,827.738461538462,-146.171794871795,0.080066876923077,0.9622,Inf,number_games
CRO,733.582458307597,812.344262295082,-78.7618039874847,-0.122597417956844,0.91761,Inf,number_games
ROU,695.69414101291,861.183333333333,-165.489192320424,-0.0839604675604104,0.99221,Inf,number_games
MEX,484.613305613306,588.3,-103.686694386694,-0.022757437976438,0.95148,Inf,number_games
BEL,652.501320655045,612.016949152542,40.4843715025025,0.0575552606838753,0.21519,Inf,number_games
SWE,590.634046052632,529.775862068966,60.8581839836661,0.161262347578267,0.12107,Inf,number_games
ENG,626.048364153627,552.636363636364,73.4120005172637,0.0223347376180008,0.10504,Inf,number_games
KAZ,534.685483870968,704.698113207547,-170.01262933658,-0.00175040576181777,0.9904,Inf,number_games
CUB,774.074561403509,984.192307692308,-210.117746288799,0.0100088039811067,0.99813,Inf,number_games
GEO,789.535483870968,1024.72,-235.184516129032,0.340778477419355,0.99231,Inf,number_games
NOR,558.455275229358,668,-109.544724770642,-0.136261987767584,0.96666,Inf,number_games
USA,554.468965517241,698.304347826087,-143.835382308846,0.230455436009268,0.97826,Inf,number_games
SUI,676.84858044164,825.095238095238,-148.246657653598,-0.0286565663962748,0.99004,Inf,number_games
VIE,554.379310344828,560.857142857143,-6.47783251231533,0.347727298850575,0.53071,Inf,number_games
LTU,704.982378854626,814.951219512195,-109.96884065757,0.100983509186634,0.92719,Inf,number_games
ARG,537.21677852349,787.825,-250.60822147651,0.16878436409396,0.99978,Inf,number_games
ISR,629.25088028169,717.075,-87.8241197183099,0.0023690686619717,0.89624,Inf,number_games
DEN,632.727238095238,739.435897435897,-106.708659340659,-0.260708937142857,0.94811,Inf,number_games
EGY,507.016624040921,472.297297297297,34.7193267436234,-0.279475737194995,0.32911,Inf,number_games
PHI,419.320895522388,469.783783783784,-50.4628882613957,-0.33648644614764,0.72685,Inf,number_games
BAN,505.193857965451,554.657142857143,-49.4632848916918,0.424382389909515,0.72794,Inf,number_games
LAT,693.754491017964,828,-134.245508982036,-0.0550518650933425,0.92537,Inf,number_games
SLO,713.783681214421,913.058823529412,-199.27514231499,-0.189650208728653,0.99441,Inf,number_games
CHI,573.504854368932,659.322580645161,-85.8177262762293,0.0731576954796954,0.85878,Inf,number_games
KEN,363.704545454545,418.870967741935,-55.1664222873901,-0.267626104105572,0.77678,Inf,number_games
BUL,678.280653950954,1075.66666666667,-397.386012715713,-0.354412453224342,0.99974,Inf,number_games
