country,mean_male,mean_female,observed_difference,mean_perm_difference,% perm>=obs,n_highest,metric
FRA,31,35,-4,-6.86323978551319,0.401635511694307,1,age
GER,24,36,-12,-13.5302253132658,0.544898951316064,1,age
RUS,31,23,8,-2.54562074787456,0.0689631057873862,1,age
ESP,39,38,1,-0.0524841574127416,0.542223723156996,1,age
POL,23,34,-11,-11.1012722343056,0.534646287082005,1,age
IND,52,34,18,20.5338394620803,0.749436341507213,1,age
IRI,26,24,2,-3.05794021392082,0.367407008301405,1,age
GRE,45,49,-4,5.53511805687062,0.746264937757268,1,age
CZE,36,29,7,-2.67995663935078,0.211641737608402,1,age
TUR,28,39,-11,-3.61871760817248,0.783774877422834,1,age
HUN,25,41,-16,-10.7855356128479,0.714808207847085,1,age
BRA,42,30,12,0.140735283869747,0.2305502185145,1,age
SRI,35,34,1,-2.20715882341305,0.508743299111823,1,age
SRB,26,50,-24,-14.4896173994294,0.778511148000517,1,age
NED,27,30,-3,-11.7423397082078,0.249296376962934,1,age
ITA,32,27,5,-9.20695660828025,0.202448248407643,1,age
COL,32,33,-1,-2.63563856137917,0.550708411770534,1,age
UKR,35,29,6,-0.341956118882063,0.213284276382968,1,age
AUT,33,39,-6,-10.9365905501644,0.351910527518152,1,age
SVK,36,40,-4,-3.0704131342213,0.594168102890047,1,age
CHN,29,27,2,-0.378393766856458,0.496653680950954,1,age
CRO,31,33,-2,-13.5660428020208,0.269501571263773,1,age
ROU,37,28,9,-3.94891216600058,0.0841663593689267,1,age
MEX,51,32,19,10.6415259636827,0.409455638738452,1,age
BEL,62,41,21,19.7953680266279,0.509148346720348,1,age
SWE,28,58,-30,-18.3246662751227,0.827269378938252,1,age
ENG,50,43,7,8.00811367093894,0.604180131449424,1,age
KAZ,32,25,7,-1.69082293570691,0.285037351982834,1,age
CUB,33,33,0,-0.32501220277526,0.500503053184177,1,age
GEO,35,34,1,-1.64841875899568,0.389612985766832,1,age
NOR,31,42,-11,-9.81853435814616,0.567425307294315,1,age
USA,29,38,-9,-9.46496891439503,0.64446835644827,1,age
SUI,49,22,27,4.76545617351507,0.0223161874440354,1,age
VIE,30,34,-4,-1.17777,0.73753,1,age
LTU,58,38,20,7.35693134081675,0.281408534765742,1,age
ARG,23,36,-13,-17.2890101885023,0.448872878226941,1,age
ISR,53,27,26,10.3481295615895,0.163286236321455,1,age
DEN,48,65,-17,0.059712194393268,0.904805059005129,1,age
EGY,33,24,9,-11.0562683521624,0.0415268999153934,1,age
PHI,35,24,11,-5.28801811284781,0.0992135210820043,1,age
BAN,41,52,-11,-1.11526308969669,0.92055976955356,1,age
LAT,33,33,0,-7.51093467195984,0.31631051068468,1,age
SLO,33,22,11,-7.86960771601552,0.0152405270349794,1,age
CHI,25,31,-6,-13.6373552960884,0.321165408660797,1,age
KEN,34,26,8,-3.78132173010519,0.164677351749466,1,age
BUL,46,42,4,2.93935502987802,0.52376907501605,1,age
