country,Obs. all,Expected all,p all
IND,183,96.69357,0.08809
EGY,500,283.02869,0.01834
BAN,413,181.46319,0.0149
MAS,443,173.89551,0.00300999999999996
IRQ,412,113.31821,0.000310000000000032
INA,150,99.0688,0.36721
IRI,203,170.15518,0.35593
SWE,222,238.85203,0.58687
DEN,440,269.27048,0.06016
SGP,103,142.80673,0.41267
NOR,670,419.02848,0.0161
NED,388,232.35545,0.0317499999999999
RUS,205,31.67133,0
UAE,777,130.69378,7.9999999999969e-05
AUS,285,148.54678,0.0963000000000001
SRI,426,120.09549,0.000319999999999987
USA,400,150.78735,0.001
FRA,337,176.97853,0.01163
TUR,169,95.27037,0.17214
CUB,264,59.75995,0
ESP,299,153.60751,0.00917000000000001
PER,263,103.51607,0.07015
ECU,370,103.77833,0.01316
PHI,388,65.09218,0
SUI,325,185.34861,0.0434
KGZ,386,101.30726,0.0196
ARM,376,104.54118,0.00207000000000002
GEO,167,47.63221,0.01447
ARG,296,155.10898,0.0607799999999999
ITA,237,151.77045,0.12359
JOR,345,202.6765,0.12901
CHI,529,152.5655,0
MEX,357,111.23164,9.9999999999989e-05
CRC,389,116.46298,0.0108200000000001
AZE,317,104.26493,0.01305
VEN,542,211.50244,2.000000000002e-05
KAZ,141,106.93905,0.3876
GRE,220,74.15008,0.02157
ENG,287,159.37976,0.10986
POL,348,112.6348,2.000000000002e-05
BRA,381,78.14557,0.000199999999999978
CAN,341,174.89277,0.06989
ALG,446,163.74472,0.01441
BIH,368,184.29112,0.01524
UZB,243,92.11675,0.05262
ISR,338,143.01152,0.01417
GER,193,68.63865,0.00885000000000003
POR,418,214.66213,0.02732
SLO,330,140.10119,0.0134300000000001
HUN,333,160.25201,0.01795
SRB,256,100.29083,0.00329999999999997
SVK,251,142.82678,0.12675
CRO,362,129.95466,0.000859999999999972
BEL,319,165.61373,0.05752
KEN,474,82.26467,0
ANG,452,123.12892,0.000279999999999947
AUT,364,212.51441,0.0209200000000001
LAT,338,95.23576,0.00580000000000003
EST,217,70.59469,0.01872
RSA,467,119.00511,0.000650000000000039
MDA,335,102.128,0.002
UKR,131,34.66638,0.00729000000000002
BLR,263,77.00512,0.00876999999999995
DOM,551,189.42228,0
COL,292,43.2706,4.99999999999945e-05
ROU,215,90.12181,0.02662
CZE,419,173.33216,0.000240000000000018
CHN,137,45.78141,0.05123
BOL,347,110.47384,0.00329999999999997
NEP,559,202.82789,9.99999999995449e-06
BOT,503,129.02258,0
LTU,-3,44.43708,0.81508
MGL,100,19.2514,0.03756
BUL,261,177.71782,0.13714
KOR,395,167.29887,0.1391
ZAM,442,129.59737,0.000170000000000003
ZIM,655,155.17501,0
THA,631,135.86343,0
VIE,347,67.3091,0.00131999999999999
