country,Obs. all,Expected all,p all
IND,183,96.92924,0.08928
EGY,500,283.69268,0.01837
BAN,413,180.69821,0.01459
MAS,443,173.81278,0.00329999999999997
IRQ,412,113.42065,0.000229999999999952
INA,150,99.49359,0.36478
IRI,203,170.86905,0.35863
SWE,222,239.10124,0.58763
DEN,440,268.97083,0.0595
SGP,103,143.23947,0.41329
NOR,670,419.69018,0.01616
NED,388,231.93474,0.03025
RUS,205,31.47984,9.99999999995449e-06
UAE,777,131.14748,2.99999999999745e-05
AUS,285,148.22875,0.0972
SRI,426,119.87295,0.000199999999999978
USA,400,150.68781,0.000940000000000052
FRA,337,177.37706,0.01217
TUR,169,95.6883,0.17162
CUB,264,59.41165,2.99999999999745e-05
ESP,299,153.4398,0.00904000000000005
PER,263,102.7651,0.06992
ECU,370,104.4675,0.01335
PHI,388,64.94096,0
SUI,325,185.66719,0.04338
KGZ,386,101.26277,0.0204299999999999
ARM,376,105.17903,0.00161999999999995
GEO,167,47.73243,0.01419
ARG,296,155.11503,0.06093
ITA,237,151.63381,0.1231
JOR,345,202.71104,0.12899
CHI,529,152.61227,0
MEX,357,111.23918,7.9999999999969e-05
CRC,389,117.05103,0.0104300000000001
AZE,317,104.61413,0.01451
VEN,542,211.10353,0.000120000000000009
KAZ,141,107.52918,0.39055
GRE,220,74.32379,0.0209
ENG,287,160.48915,0.11073
POL,348,113.15258,9.99999999995449e-06
BRA,381,77.84313,0.000190000000000023
CAN,341,174.30722,0.06981
ALG,446,163.80354,0.0148700000000001
BIH,368,184.13992,0.01436
UZB,243,91.51457,0.05122
ISR,338,142.49043,0.01389
GER,193,68.57009,0.00922999999999996
POR,418,214.26793,0.02689
SLO,330,139.42354,0.01409
HUN,333,160.13789,0.0172600000000001
SRB,256,100.33848,0.00360000000000005
SVK,251,142.64898,0.12373
CRO,362,129.89261,0.000829999999999997
BEL,319,165.61529,0.05753
KEN,474,82.14533,0
ANG,452,122.12522,0.000199999999999978
AUT,364,213.02132,0.0214800000000001
LAT,338,95.96273,0.00602999999999998
EST,217,70.92262,0.01896
RSA,467,118.66549,0.000519999999999965
MDA,335,101.62844,0.00217999999999996
UKR,131,34.83814,0.00793999999999995
BLR,263,77.17909,0.00873999999999997
DOM,551,189.29575,9.99999999995449e-06
COL,292,43.25092,4.99999999999945e-05
ROU,215,89.78204,0.02816
CZE,419,173.09858,0.000290000000000012
CHN,137,45.99882,0.05107
BOL,347,109.13906,0.00336999999999998
NEP,559,202.13289,0
BOT,503,128.16967,0
LTU,-3,44.12987,0.81384
MGL,100,19.37805,0.0386800000000001
BUL,261,177.50508,0.13622
KOR,395,168.22803,0.14264
ZAM,442,129.37126,0.000229999999999952
ZIM,655,155.86039,0
THA,631,135.76134,9.99999999995449e-06
VIE,347,68.09809,0.00122999999999995
