country,mean_male,mean_female,observed_difference,mean_perm_difference,% perm>=obs,n_highest,metric
FRA,2472,1882,590,735.049374116898,0.601176142808812,1,number_games
GER,1428,2092,-664,-134.043721539332,0.818794210145143,1,number_games
RUS,1728,1921,-193,86.6559681141179,0.779356088984786,1,number_games
ESP,1303,2186,-883,-111.421792094752,0.945807913197273,1,number_games
POL,1262,1446,-184,-383.891327655012,0.249230647050648,1,number_games
IND,1733,1587,146,-194.869760015966,0.125689767000948,1,number_games
IRI,2104,1104,1000,767.358420327751,0.387113515239825,1,number_games
GRE,1098,1421,-323,-249.486024334101,0.472242982272578,1,number_games
CZE,1931,1631,300,428.719587034145,0.579952457206513,1,number_games
TUR,1879,1596,283,372.554411544415,0.644849453238129,1,number_games
HUN,1565,1238,327,11.7193020915332,0.212909911615533,1,number_games
BRA,1036,1592,-556,-284.617295995062,0.774208320474659,1,number_games
SRI,1036,435,601,-33.7776238583854,0.00762890474258631,1,number_games
SRB,1583,1587,-4,86.326685225691,0.544999005766554,1,number_games
NED,2222,2205,17,823.39188719182,0.941250708032316,1,number_games
ITA,1543,1884,-341,275.150868674003,0.865211247985035,1,number_games
COL,1359,968,391,-44.3161643075765,0.221886545757105,1,number_games
UKR,1764,1467,297,102.517642671049,0.344361804482017,1,number_games
AUT,2396,933,1463,1179.99792211408,0.282125210025551,1,number_games
SVK,1546,1033,513,288.797867782594,0.343237184277388,1,number_games
CHN,1864,2032,-168,104.025506331642,0.657771741301482,1,number_games
CRO,2414,1603,811,789.705538372798,0.504937694549143,1,number_games
ROU,1811,1988,-177,136.867195598437,0.693923929511203,1,number_games
MEX,991,2058,-1067,-4.30998715894046,1,1,number_games
BEL,1684,1779,-95,465.060788516174,0.91524697203808,1,number_games
SWE,2242,2020,222,1036.70572776683,0.913964044675387,1,number_games
ENG,1302,714,588,31.8785509668179,0.142943821118803,1,number_games
KAZ,1430,1810,-380,162.540100897752,0.892031461031223,1,number_games
CUB,1778,926,852,247.322607647158,0.117128877639485,1,number_games
GEO,2053,1454,599,126.768727883404,0.0473620024390732,1,number_games
NOR,1697,1585,112,585.868378556191,0.836898662254032,1,number_games
USA,2384,1494,890,927.280403081922,0.510161771008801,1,number_games
SUI,1584,994,590,416.643542787797,0.34559489112811,1,number_games
VIE,1521,1307,214,46.24462,0.37195,1,number_games
LTU,2036,1312,724,351.814609844214,0.246991278735302,1,number_games
ARG,1904,1550,354,743.16210608222,0.78556108655966,1,number_games
ISR,1761,1041,720,388.666261858071,0.298151484685295,1,number_games
DEN,1090,1381,-291,1.86394557823129,0.730391131562435,1,number_games
EGY,2242,879,1363,1114.67781018846,0.360518482383745,1,number_games
PHI,1455,1170,285,219.087143524083,0.335949062807307,1,number_games
BAN,1774,1164,610,399.102700115662,0.419754317393212,1,number_games
LAT,1683,1351,332,7.88277117228828,0.271667283327167,1,number_games
SLO,1961,1719,242,601.907455448903,0.860769092614396,1,number_games
CHI,1235,847,388,237.430034401954,0.303963703445181,1,number_games
KEN,871,733,138,100.978617846412,0.309212693532448,1,number_games
BUL,1260,2175,-915,-345.119458371166,0.804074059452844,1,number_games
