country,Obs. all,Expected all,p all
IND,,97.0171,
EGY,,284.10857,
BAN,,181.40665,
MAS,,173.11794,
IRQ,,113.1696,
INA,,99.10853,
IRI,,170.50751,
SWE,,238.37937,
DEN,,268.74265,
SGP,,142.93619,
NOR,,419.09076,
NED,,232.4602,
RUS,,31.67968,
UAE,,129.91498,
AUS,,148.35332,
SRI,,120.51637,
USA,,150.6875,
FRA,,176.85638,
TUR,,96.05097,
CUB,,59.35704,
ESP,,153.53753,
PER,,102.47043,
ECU,,103.96288,
PHI,,64.66442,
SUI,,185.52973,
KGZ,,101.57395,
ARM,,104.42314,
GEO,,48.19132,
ARG,,154.83384,
ITA,,152.05555,
JOR,,202.60285,
CHI,,152.05503,
MEX,,111.12729,
CRC,,116.79722,
AZE,,104.44027,
VEN,,210.29409,
KAZ,,108.32511,
GRE,,74.55762,
ENG,,159.9546,
POL,,112.916,
BRA,,77.88078,
CAN,,175.01967,
ALG,,164.35248,
BIH,,184.51119,
UZB,,91.25307,
ISR,,142.52461,
GER,,68.66264,
POR,,214.66287,
SLO,,139.87992,
HUN,,160.99611,
SRB,,99.99421,
SVK,,143.12872,
CRO,,130.22921,
BEL,,165.25311,
KEN,,82.29186,
ANG,,122.56018,
AUT,,213.50714,
LAT,,95.73767,
EST,,70.85159,
RSA,,118.85545,
MDA,,101.87942,
UKR,,34.73854,
BLR,,77.38188,
DOM,,188.89499,
COL,,42.94718,
ROU,,89.81856,
CZE,,173.26053,
CHN,,45.76403,
BOL,,110.30387,
NEP,,202.71616,
BOT,,128.68891,
LTU,,44.20751,
MGL,,19.20602,
BUL,,176.88623,
KOR,,167.44193,
ZAM,,129.64723,
ZIM,,156.74123,
THA,,135.25193,
VIE,,67.16878,
